interaction, session, ses start, topic no, product, goal, tasttype, subject no, subject, currquery start, intxn count, intxn start time, avg click time, clicks, click order
1,1,09:54:08.725624,1,factual,specific,known-item,1,403b,09:55:00.877477,1,09:54:27.674484,1011496.0,2,2.1
2,2,15:05:17.249315,2,intellectual,specific,interpretive,1,403b,15:10:23.618551,4,15:05:39.979220,7236503.42857,7,1.2.4.6.10.9.8
3,2,15:05:17.249315,2,intellectual,specific,interpretive,1,403b,15:10:23.618551,4,15:07:35.824814,7584616.33333,3,1.2.3
4,2,15:05:17.249315,2,intellectual,specific,interpretive,1,403b,15:10:23.618551,4,15:08:33.537848,6751298.0,1,1
5,2,15:05:17.249315,2,intellectual,specific,interpretive,1,403b,15:10:23.618551,4,15:09:18.207845,0,0,
6,3,14:38:29.350404,3,factual,amorphous,known-subject,2,computer programming,14:40:36.983887,1,14:39:10.618365,11552412.0,2,8.6
7,4,15:59:22.431908,4,factual,amorphous,known-subject,3,pocono mountains,16:01:53.195636,3,15:59:42.529127,9960460.0,2,1.2
8,4,15:59:22.431908,4,factual,amorphous,known-subject,3,pocono mountains,16:01:53.195636,3,16:00:41.114564,0,0,
9,4,15:59:22.431908,4,factual,amorphous,known-subject,3,pocono mountains,16:01:53.195636,3,16:00:55.044065,34551194.0,1,2
10,5,13:13:10.473082,4,factual,amorphous,known-subject,3,pocono mountains,13:16:01.582131,2,13:13:34.997032,22048640.6667,3,3.7.1
11,5,13:13:10.473082,4,factual,amorphous,known-subject,3,pocono mountains,13:16:01.582131,2,13:15:21.834623,12374426.0,1,3
12,6,16:17:33.813033,5,intellectual,amorphous,exploratory,3,pocono mountains,16:30:09.226452,10,16:17:57.166303,10562805.0,3,1.1.3
13,6,16:17:33.813033,5,intellectual,amorphous,exploratory,3,pocono mountains,16:30:09.226452,10,16:20:01.334784,8646061.33333,3,1.2.3
14,6,16:17:33.813033,5,intellectual,amorphous,exploratory,3,pocono mountains,16:30:09.226452,10,16:20:45.833768,3410062.5,4,2.3.2.3
15,6,16:17:33.813033,5,intellectual,amorphous,exploratory,3,pocono mountains,16:30:09.226452,10,16:21:47.816322,15833780.5,2,2.5
16,6,16:17:33.813033,5,intellectual,amorphous,exploratory,3,pocono mountains,16:30:09.226452,10,16:24:18.346182,11318908.0,1,1
17,6,16:17:33.813033,5,intellectual,amorphous,exploratory,3,pocono mountains,16:30:09.226452,10,16:24:48.697904,16107834.5,2,4.2
18,6,16:17:33.813033,5,intellectual,amorphous,exploratory,3,pocono mountains,16:30:09.226452,10,16:27:06.217924,28307751.0,1,1
19,6,16:17:33.813033,5,intellectual,amorphous,exploratory,3,pocono mountains,16:30:09.226452,10,16:27:55.821108,0,0,
20,6,16:17:33.813033,5,intellectual,amorphous,exploratory,3,pocono mountains,16:30:09.226452,10,16:28:23.565099,0,0,
